id,trait_date,treatment,microhabitat,sa_dw,h,h_v,h_ww,sa_v,ts,t,p_calcification,dw_ww,Missing data
rcn1,30Jan2024,pre_storm,reefcrest,387.6736,12.1000,1.3444,0.9680,92.3032,1160,6.4,33.3333,0.1714,
rcn10,30Jan2024,pre_storm,reefcrest,303.3466,10.3000,1.4714,1.0300,83.0592,340,5.9,28.5714,0.1917,
rcn11,30Jan2024,pre_storm,reefcrest,443.5216,11.9000,2.9750,1.3222,194.3325,120,7.0,0.0000,0.1947,
rcn12,30Jan2024,pre_storm,reefcrest,378.8881,14.5000,1.8125,1.6477,75.7776,280,7.1,25.0000,0.1818,
rcn13,30Jan2024,pre_storm,reefcrest,361.9272,13.0000,1.3000,0.9774,79.5296,380,6.1,16.6667,0.1652,
rcn14,30Jan2024,pre_storm,reefcrest,333.2563,8.0000,1.6000,1.6667,56.8757,240,6.5,11.1111,0.1778,
rcn15,30Jan2024,pre_storm,reefcrest,230.3299,10.0000,0.4762,0.4292,55.0429,930,6.0,28.5714,0.2154,
rcn16,30Jan2024,pre_storm,reefcrest,285.2497,10.2000,2.0400,1.0099,93.6332,930,7.7,23.0769,0.1625,
rcn17,30Jan2024,pre_storm,reefcrest,461.1250,12.4000,4.1333,2.4800,131.7500,100,6.6,50.0000,0.1714,
rcn18,30Jan2024,pre_storm,reefcrest,373.4606,13.0000,1.4444,1.2150,69.7719,250,6.7,16.6667,0.1571,
rcn19,30Jan2024,pre_storm,reefcrest,333.6133,11.9000,1.1900,1.1121,59.4944,410,7.5,22.2222,0.1667,
rcn2,30Jan2024,pre_storm,reefcrest,367.5585,8.0000,4.0000,1.2903,203.4699,670,5.9,18.1818,0.1786,
rcn20,30Jan2024,pre_storm,reefcrest,340.6597,11.4000,2.2800,2.2353,62.5451,360,6.6,25.0000,0.1800,
rcn21,30Jan2024,pre_storm,reefcrest,339.5556,11.7000,1.4625,1.1471,73.5987,1390,6.9,22.2222,0.1700,
rcn22,30Jan2024,pre_storm,reefcrest,328.7269,14.3000,0.4333,0.4231,55.0957,1300,7.4,25.0000,0.1636,
rcn23,30Jan2024,pre_storm,reefcrest,461.7412,7.7000,1.5400,1.4808,74.2144,190,6.5,25.0000,0.1545,
rcn24,30Jan2024,pre_storm,reefcrest,418.0556,10.9000,1.3625,1.8167,56.4375,340,6.7,25.0000,0.1800,
rcn25,30Jan2024,pre_storm,reefcrest,437.2208,12.7000,0.8467,0.6865,86.2782,480,6.4,26.6667,0.1600,
rcn26,1Feb2024,pre_storm,reefcrest,267.5571,9.5000,1.9000,2.1591,47.0901,750,6.0,28.5714,0.2000,
rcn27,1Feb2024,pre_storm,reefcrest,331.7750,15.2000,1.1692,1.2991,59.7195,300,5.7,25.0000,0.2000,
rcn28,1Feb2024,pre_storm,reefcrest,242.8403,11.8000,1.0727,0.9916,46.3604,550,5.9,29.1667,0.1765,
rcn29,1Feb2024,pre_storm,reefcrest,238.7674,15.8000,1.2154,1.9268,28.8664,350,5.9,37.5000,0.1917,
rcn3,30Jan2024,pre_storm,reefcrest,338.4064,11.9000,1.3222,1.0818,80.4238,280,6.5,25.0000,0.1944,
rcn30,1Feb2024,pre_storm,reefcrest,219.0500,13.3000,0.8867,0.8365,46.4386,300,5.8,33.3333,0.2000,
rcn4,30Jan2024,pre_storm,reefcrest,375.4292,13.9000,1.7375,1.5444,77.9738,340,6.5,50.0000,0.1846,
rcn5,30Jan2024,pre_storm,reefcrest,341.5697,14.0000,0.9333,0.9032,59.8489,200,6.1,25.0000,0.1696,
rcn6,30Jan2024,pre_storm,reefcrest,326.2140,8.2000,1.6400,2.0000,44.5826,720,6.9,20.0000,0.1667,
rcn7,30Jan2024,pre_storm,reefcrest,351.9508,12.1000,1.2100,1.0083,70.3902,840,6.7,23.0769,0.1667,
rcn8,30Jan2024,pre_storm,reefcrest,266.9868,14.2000,0.6762,0.6228,62.4338,480,6.4,18.1818,0.2154,
rcn9,30Jan2024,pre_storm,reefcrest,440.3021,12.8000,1.2800,1.1963,64.7794,360,7.2,23.0769,0.1375,
rcs1,9Feb2024,post_storm,reefcrest,300.1219,11.9000,0.9154,0.8440,57.8697,360,9.0,35.7143,0.1778,
rcs10,9Feb2024,post_storm,reefcrest,323.9179,11.0000,1.3750,1.3253,67.2130,260,9.1,21.4286,0.2000,
rcs11,9Feb2024,post_storm,reefcrest,573.7188,16.3000,0.8150,0.8956,85.4319,100,7.7,12.5000,0.1636,
rcs12,9Feb2024,post_storm,reefcrest,378.4200,13.6000,0.6476,0.6733,60.6673,240,7.2,23.0769,0.1667,
rcs13,9Feb2024,post_storm,reefcrest,419.3455,16.1000,0.6440,0.6466,57.4294,840,7.1,25.0000,0.1375,
rcs14,9Feb2024,post_storm,reefcrest,267.5077,10.4000,2.6000,1.4247,97.6403,1040,8.6,23.0769,0.2000,
rcs15,9Feb2024,post_storm,reefcrest,359.8031,7.2000,1.4400,1.8000,51.1720,400,8.3,25.0000,0.1778,
rcs16,9Feb2024,post_storm,reefcrest,274.2699,9.9000,1.6500,1.6780,56.9364,580,8.0,28.5714,0.2111,
rcs17,9Feb2024,post_storm,reefcrest,333.7626,12.0000,2.4000,2.5532,56.4726,210,7.9,27.2727,0.1800,
rcs18,10Feb2024,post_storm,reefcrest,473.0519,8.5000,2.8333,3.1481,63.8620,500,7.9,11.1111,0.1500,
rcs19,10Feb2024,post_storm,reefcrest,398.5714,7.9000,1.9750,2.2571,52.3125,720,7.4,14.2857,0.1500,
rcs2,9Feb2024,post_storm,reefcrest,257.5167,7.7000,1.9250,1.8333,54.0785,520,8.9,20.0000,0.2000,
rcs20,10Feb2024,post_storm,reefcrest,347.3417,8.4000,4.2000,3.0000,72.9418,490,7.1,25.0000,0.1500,
rcs21,10Feb2024,post_storm,reefcrest,192.6028,10.5000,1.5000,1.5441,66.5244,360,7.2,10.0000,0.3556,
rcs22,10Feb2024,post_storm,reefcrest,374.2944,7.0000,2.3333,2.5926,50.5298,400,8.1,25.0000,0.1500,
rcs23,10Feb2024,post_storm,reefcrest,378.3000,7.7000,2.5667,3.0800,52.5417,160,7.9,18.1818,0.1667,
rcs24,10Feb2024,post_storm,reefcrest,320.5744,11.5000,2.3000,2.4468,53.5715,40,7.7,10.0000,0.1778,
rcs25,10Feb2024,post_storm,reefcrest,444.1556,8.2000,1.1714,1.2615,61.8645,600,7.7,16.6667,0.1500,
rcs3,9Feb2024,post_storm,reefcrest,327.1667,12.2000,1.5250,1.6486,54.4733,1000,9.1,18.1818,0.1800,
rcs4,9Feb2024,post_storm,reefcrest,323.4095,14.9000,1.3545,1.5851,48.3644,300,8.5,25.0000,0.1750,
rcs5,9Feb2024,post_storm,reefcrest,359.1692,9.1000,1.5167,1.7843,44.0980,430,8.6,20.0000,0.1444,
rcs6,9Feb2024,post_storm,reefcrest,359.6786,16.1000,1.2385,1.2677,54.6588,220,7.6,27.2727,0.1556,
rcs7,9Feb2024,post_storm,reefcrest,527.6160,15.0000,3.0000,3.6585,72.1075,40,8.8,20.0000,0.1667,
rcs8,9Feb2024,post_storm,reefcrest,436.8750,7.9000,2.6333,2.1944,104.8500,840,9.2,16.6667,0.2000,
rcs9,9Feb2024,post_storm,reefcrest,298.7782,12.0000,1.0000,0.7547,72.5782,280,6.7,20.0000,0.1833,
rfn1,24Jan2024,pre_storm,reefflat,317.0493,7.5000,0.7500,1.0000,31.3446,600,5.3,28.5714,0.1318,
rfn10,24Jan2024,pre_storm,reefflat,287.2358,14.5000,0.3222,0.3511,48.5058,580,6.1,17.2414,0.1840,
rfn11,24Jan2024,pre_storm,reefflat,311.2256,9.5000,0.9500,0.9048,45.2474,640,5.4,27.7778,0.1385,
rfn12,24Jan2024,pre_storm,reefflat,303.5083,9.0000,1.1250,1.0345,54.0107,230,6.0,33.3333,0.1636,
rfn13,24Jan2024,pre_storm,reefflat,253.0483,10.1000,0.6733,0.7266,42.5016,190,6.0,50.0000,0.1813,
rfn14,24Jan2024,pre_storm,reefflat,400.0784,9.9000,4.9500,1.4348,182.3929,360,6.1,16.6667,0.1321,
